Feature_Set,Model,MAE,RMSE,R2_Score
With_cycle,Linear Regression,38.24448487981732,50.17504054250066,0.6094390145939019
With_cycle,Random Forest,32.37708863002084,46.356490852832124,0.6666238711387711
With_cycle,XGBoost,32.25502395629883,46.1674690246582,0.6693370342254639
Without_cycle,Linear Regression,39.559274435272755,52.17201289221696,0.5777316030784824
Without_cycle,Random Forest,34.957032056541614,50.11331769583616,0.6103993210818458
Without_cycle,XGBoost,34.58855056762695,49.28151321411133,0.6232255101203918
